Country;Code;SENTENCED;population;sentratio;spam;spamratio
SERBIA;SR;0;7.311;0.000;273;37.343
ROMANIA;RO;0;21.905;0.000;523;23.876
KOREA (SOUTH);KR;13;48.755;0.267;894;18.337
BELARUS;BY;10;9.578;1.044;174;18.167
ISRAEL;IL;0;7.473;0.000;128;17.128
BULGARIA;BG;0;7.094;0.000;108;15.225
TAIWAN;TW;29;23.072;1.257;297;12.873
VIETNAM;VN;235;90.549;2.595;916;10.116
KAZAKHSTAN;KZ;0;15.522;0.000;140;9.019
UNITED STATES;US;426;313.232;1.360;2499;7.978
UKRAINE;UR;0;45.135;0.000;332;7.356
CHILE;CL;0;16.889;0.000;122;7.224
POLAND;PL;0;38.442;0.000;275;7.154
PERU;PE;0;29.249;0.000;203;6.940
RUSSIA;RU;0;138.740;0.000;895;6.451
SAUDI ARABIA;SA;45;26.132;1.722;161;6.161
MOROCCO;MA;22;31.968;0.688;162;5.068
COLOMBIA;CO;0;44.726;0.000;213;4.762
ITALY;IT;0;61.017;0.000;267;4.376
PHILIPPINES;PH;0;101.834;0.000;390;3.830
ARGENTINA;AR;0;41.770;0.000;159;3.807
SPAIN;ES;0;46.755;0.000;171;3.657
BRAZIL;BR;0;203.430;0.000;538;2.645
INDONESIA;ID;29;245.613;0.118;508;2.068
ALGERIA;DZ;701;34.995;20.031;70;2.000
GERMANY;DE;0;81.472;0.000;158;1.939
INDIA;IN;325;1189.173;0.273;2128;1.789
PAKISTAN;PK;1184;187.343;6.320;268;1.431
FRANCE;FR;0;65.312;0.000;91;1.393
IRAN;IR;1303;77.891;16.728;105;1.348
THAILAND;TH;16;66.720;0.240;82;1.229
TURKEY;TR;0;78.786;0.000;70;0.888
MEXICO;MX;0;113.724;0.000;73;0.642
CHINA;CN;12000;1336.718;8.977;508;0.380
MALAYSIA;MY;216;245.613;0.879;70;0.285
